panel,behavior,cohen_kappa,agreement,krippendorff_alpha,label_pairs
matched_original3,Fact-sharing,0.6062176165803107,0.8947368421052632,0.8629472407519709,38
matched_original3,Reasoned claim,0.3750000000000005,0.8611111111111112,0.913937547600914,36
matched_original3,Constructive engagement,0.5421686746987955,0.8947368421052632,1.0,38
matched_original3,Deceptive falsehood,0.8027681660899654,0.9210526315789473,0.9154508043396932,38
matched_original3,Feigning ignorance or innocence,0.7295373665480428,0.8947368421052632,1.0,38
matched_original3,Memory/perception manipulation,0.5393939393939393,0.8947368421052632,0.9279336734693877,38
matched_original3,Withholding relevant information,0.7896678966789668,0.9210526315789473,0.9138719512195121,38
matched_original3,Uninformative alignment,0.30275229357798117,0.8947368421052632,0.12808641975308643,38
matched_original3,Minimal non-commitment,0.0,0.9736842105263158,0.0,38
matched_original3,Deflection,0.9170305676855897,0.9736842105263158,0.6730324074074074,38
matched_original3,Unsupported accusation,0.8429752066115703,0.9736842105263158,0.6002358490566038,38
matched_original3,Vagueness or obscuring communication,-0.06741573033707798,0.868421052631579,0.30246913580246915,38
matched_original3,Playful / nonliteral communication,nan,1.0,nan,37
expanded5,Fact-sharing,0.6062176165803107,0.8947368421052632,0.8958333333333334,38
expanded5,Reasoned claim,0.3750000000000005,0.8611111111111112,0.9232954545454546,36
expanded5,Constructive engagement,0.5421686746987955,0.8947368421052632,0.9467455621301775,38
expanded5,Deceptive falsehood,0.7285714285714285,0.8947368421052632,0.7574728260869565,38
expanded5,Feigning ignorance or innocence,0.7295373665480428,0.8947368421052632,0.7860054347826086,38
expanded5,Memory/perception manipulation,0.5393939393939393,0.8947368421052632,0.7293673522520177,38
expanded5,Withholding relevant information,0.7295373665480428,0.8947368421052632,0.778169014084507,38
expanded5,Uninformative alignment,0.30275229357798117,0.8947368421052632,0.1594101123595505,38
expanded5,Minimal non-commitment,0.0,0.9736842105263158,0.0,38
expanded5,Deflection,0.8256880733944952,0.9473684210526315,0.7571214392803598,38
expanded5,Unsupported accusation,0.8429752066115703,0.9736842105263158,0.748,38
expanded5,Vagueness or obscuring communication,-0.041095890410959644,0.8947368421052632,0.30386740331491713,38
expanded5,Playful / nonliteral communication,nan,1.0,0.0,37
agreement_top3,Fact-sharing,0.721951219512195,0.9210526315789473,0.9314736203759855,38
agreement_top3,Reasoned claim,0.5384615384615384,0.8888888888888888,0.8478114478114478,36
agreement_top3,Constructive engagement,0.5421686746987955,0.8947368421052632,1.0,38
agreement_top3,Deceptive falsehood,0.8027681660899654,0.9210526315789473,0.7757936507936508,38
agreement_top3,Feigning ignorance or innocence,0.6494464944649447,0.868421052631579,0.7036713286713288,38
agreement_top3,Memory/perception manipulation,0.7696969696969694,0.9473684210526315,0.6557501904036558,38
agreement_top3,Withholding relevant information,0.7896678966789668,0.9210526315789473,0.77079107505071,38
agreement_top3,Uninformative alignment,0.2276422764227636,0.868421052631579,0.16296296296296298,38
agreement_top3,Minimal non-commitment,0.0,0.9736842105263158,0.0,38
agreement_top3,Deflection,0.7246376811594203,0.9210526315789473,0.8629472407519709,38
agreement_top3,Unsupported accusation,0.8429752066115703,0.9736842105263158,0.6740384615384616,38
agreement_top3,Vagueness or obscuring communication,0.0,0.9210526315789473,-0.027272727272727115,38
agreement_top3,Playful / nonliteral communication,nan,1.0,nan,37
noncohort3,Fact-sharing,0.6062176165803107,0.8947368421052632,0.9279336734693877,38
noncohort3,Reasoned claim,0.3750000000000005,0.8611111111111112,0.913937547600914,36
noncohort3,Constructive engagement,0.5421686746987955,0.8947368421052632,0.913937547600914,38
noncohort3,Deceptive falsehood,0.7099236641221374,0.8947368421052632,0.6861111111111111,38
noncohort3,Feigning ignorance or innocence,0.7729083665338645,0.9210526315789473,0.6861111111111111,38
noncohort3,Memory/perception manipulation,0.6225165562913906,0.9210526315789473,0.5696877380045697,38
noncohort3,Withholding relevant information,0.6494464944649447,0.868421052631579,0.7036713286713288,38
noncohort3,Uninformative alignment,0.1678832116788322,0.8421052631578947,0.20211827007943517,38
noncohort3,Minimal non-commitment,0.0,0.9736842105263158,0.0,38
noncohort3,Deflection,0.8256880733944952,0.9473684210526315,0.869212962962963,38
noncohort3,Unsupported accusation,0.7205882352941173,0.9473684210526315,0.9002647837599294,38
noncohort3,Vagueness or obscuring communication,0.35955056179775285,0.9210526315789473,0.30246913580246915,38
noncohort3,Playful / nonliteral communication,nan,1.0,0.0,37
